Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Arbella Insurance
3.6",-1,1988,-1,Insurance Carriers,"Commercial Lines - Associate Data Analyst

This position will act as a point person for analytical reporting within the Arbella Commercial Lines Product team and be the primary owner of routine production reporting. This individual must have a willingness to learn and strive towards developing a big picture view of the organization and P&C Insurance Industry that can be applied to their analysis. Additionally, given the large volume of ad hoc requests submitted to our team, the individual should seek out efficient ways to complete their work and demonstrate an ability to prioritize work and effectively manage their time. Lastly and most importantly, the individual will need to collaborate with key stakeholders and produce quality reporting for our customers (primarily CL Underwriting and Operations).

Key Responsibilities:
Produce routine production reports
Assist with ad hoc data requests as needed
May present data analysis/findings to CL Management
Create or modify data queries to pull new reports or improve existing reports



Key Requirements:
Bachelors Degree
Some working knowledge of querying tools such as SAS, SQL, and Power BI is desirable.
Excellent communication, relationship building, and interpersonal skills.
#LI-CL1",Commercial Lines - Associate Data Analyst,"Quincy, MA",3.6,$100 to $500 million (USD),$47K-$91K (Glassdoor Est.),Insurance,1001 to 5000 Employees,Company - Private
"Taboola
4.0",-1,2007,-1,Advertising & Marketing,"Curious about what it's like to work at the world's number 1 discovery platform as a Data Analyst? We're glad you asked!

What is the key purpose of an Advertising Data Analyst, Business Intelligence?

As an Advertising Data Analyst on our Business Intelligence Team in our New York Office, you will work closely with our Media Sales and Account Management teams to create data driven solutions, extract and visualize actionable insights from large volumes of data and analyze our clients' performance to ensure they are hitting/exceeding their KPIs. You're a strong communicator, who thrives in a fast-paced environment and can expertly manage multiple projects at a time.

What skills and qualifications do I need?

For this role, it is essential that you have:
4+ years of experience as a Data Analyst / BI position in a data-rich environment
Deep knowledge and proven work experience in the adtech, advertising, or media space
Experience working with SQL (plus the aptitude and willingness to master it), & BI tools (Qlik Sense, Tableau, Looker, etc.)
BA/BS or higher. Major in industrial engineering, finance, statistics, quantitative economics or another degree emphasizing data analysis preferred
Coding/Scripting experience (Python \ R) – a plus
Exceptional ability to understand data and to transform it into insights
What will I be doing on a day to day basis?

As a fast-moving technology company, no 2 days will ever be the same at Taboola. As an Advertising Data Analyst, you will:
Analyze business data and generate actionable recommendations (discover root causes for performance and data anomalies, cost-benefit analysis, impact analysis, etc)
Devise new approaches of data analytics while dealing with issues never dealt with before
Own and manage multiple data initiatives and projects on an on-going and an ad-hoc basis
Develop and automate reports, iteratively build and prototype dashboards to provide insights at scale, solving for business priorities
Collaborate with cross-functional stakeholders to formulate and complete full cycle analysis that includes data gathering, analysis, ongoing scaled deliverables and presentations
Deliver effective presentations of findings and recommendations to multiple levels of stakeholders, creating visual displays of quantitative information
Acquire data from primary or secondary data sources and maintain databases
Why Tabooola?
If you ask our employees what they love about Taboola they will tell you that here they are able to discover their best professional self, explore where they can grow to, and learn from and together with smart and talented people
We work with some of the biggest names in the business. Our clients include Business Insider, Bloomberg, NBC, and Wells Fargo, just to name a few
Taboola NYC offers generous health, medical and dental coverage, 401k matching, a fully-stocked kitchen, and various gym partnerships
Sounds good, how do I apply?

It's easy, submit your CV by clicking the ""Apply"" button below.

Taboola is an equal opportunity employer and we value diversity in all forms. We are committed to creating an inclusive environment for all employees and believe such an environment is critical for success. Employment is decided on the basis of qualifications, merit, and business need.

#LI-EL1","Advertising Data Analyst, Business Intelligence","New York, NY",4.0,Unknown / Non-Applicable,$47K-$91K (Glassdoor Est.),Business Services,1001 to 5000 Employees,Company - Private
"NYSTEC
3.9",-1,1996,-1,Consulting,"bout Us:

NYSTEC is a non-profit technology consulting company, advising agencies, organizations, institutions, and businesses since 1996. Were independent and vendor-neutral so we have our clients best interests at heart. At NYSTEC, we know that we succeed when individuals and teams flourish personally and professionally, so our benefits and perks support this mindset. Are you ready to contribute to our engaged workforce and deliver the NYSTEC Experience?

About the Role:

As a Clinical Data Analyst, you will collaborate with team members to conceptualize, deliver, and support our clients through todays ever-changing landscape. NYSTEC is considered a trusted advisor, partner of choice and employer of choice. We believe every interaction is an opportunity to deliver exceptional service that empowers client success!

Serving as a Clinical Data Analyst, your day-to-day role as a NYSTEC consultant be providing analytical expertise to evaluate health information exchange organizations across New York State. Candidates will have the option to be based in our New York City or Albany office.

Key Responsibilities
Analyze the quality of clinical data from electronic health records and their conformance to national standards to elucidate areas of data quality improvement
Assess policies, processes, and technical solutions that facilitate the exchange of high-quality data, to inform statewide policy and program decision-makers
About You:

Required Qualifications
Proficiency in SQL
Strong knowledge of relational database principles
Proven experience analyzing large data sets, preferably in the healthcare industry.
Strong communication, documentation, critical thinking, and analytical skills
Ability to manage and develop key relationships with colleagues and clients through collaborative thinking and a strong customer focus
Ability to work independently and develop solutions to complex problems as part of a strategic team
Must be proficient with Microsoft Office
Preferred/Desired Qualifications
Experience with national data standards such as HL7, as well as coding systems (e.g., LOINC, ICD-10)
Fluency in Python (preferably Pandas and Numpy), knowledge of non-relational databases and/or knowledge of JSON
Familiarity with health information exchange and/or EHR messaging standards
Education and Experience
A minimum of a bachelors degree with at least 1 year of related experience in a technical, scientific, or related discipline is required. An equivalent combination of advanced education, training, and experience will be considered. Preference given to candidates with a graduate degree in health informatics, public health, statistics, computer science.
If youre an effective communicator who enjoys working in complex and collaborative environments, utilizing your critical thinking and research skills to develop solutions for clients, providing support to customers, and have the required education, experience and skills, we want to hear from you.

It is NYSTEC's policy to provide equal employment opportunity (EEO) to all individuals, regardless of actual or perceived race, color, creed, religion, sex or gender (including pregnancy, childbirth and related medical conditions), gender identity or gender expression (including transgender status), age, national origin, ancestry, citizenship status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, military service and veteran status, sexual orientation, marital status, , or any other characteristic protected by local, state, or federal law and ordinances. NYSTEC is strongly committed to this policy and believes in the concept and spirit of the law.

Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future.

Learn More About NYSTEC www.nystec.com",Clinical Data Analyst,"New York, NY",3.9,$25 to $50 million (USD),$47K-$91K (Glassdoor Est.),Business Services,201 to 500 Employees,Nonprofit Organization
"Advisor Group
3.4",-1,2016,-1,Brokerage Services,"Regulatory Relations Opportunity in Financial Services

Sr. Data Analyst, Regulatory Affairs

Location(s): Considering candidates in all locations & remote

Summary:

The Sr. Data Specialist on the Regulatory Relations team is primarily responsible for producing data and reports in support of the Regulatory Relations team, including the collection, combination, analysis and reporting on complex data from a variety of data sources. The data and reports support the greater Regulatory Relations team in supplying information in response to regulatory inquiries. Reports and data must be accurate and provided timely, as deadlines are often set by the regulatory agencies. This role requires a data-minded individual who has experience in writing complex reports and is familiar with the financial services industry, especially as it relates to applicable regulations within the industry.

This role reports to the Vice President of Regulatory Relations.

Why Advisor Group?
Competitive salary and annual bonus paid based on performance
Generous time off package, including paid time off, paid holidays, and paid time to volunteer in the community
Immediate access to extensive benefits package that includes medical, dental and vision coverage, basic life insurance, long and short-term disability coverage and much more
401(k) match from day one of employment
Referral bonuses if we hire your referred applicants to our open positions
An enriching and engaging career in financial services our employees overwhelmingly report that they find meaning and purpose in their day to day work
Executive leader access and interaction in all our locations due to flat structure, open office environments, town halls and speed mentoring events
Responsibilities:
Ability to analyze activities, reports and manuals to determine if they fall within regulatory guidelines
Work with the Regulatory Relations group in capturing data and responding to regulatory requests
Assists with special projects, including creating compliance reports based upon deficiencies and/or recommendations from regulatory inquiries
Recommending and implementing Compliance based reports
All other duties as assigned
Education Requirements:
Bachelors degree is required, preferably in Finance, Business Administration, Computer Science or another related field.
Basic Requirements:
5+ years of reporting or data analytics experience
FINRA Series 7 required
Proficiency in MS SQL Server is required
Experience in Financial Services industry required
Proficiency in MS Office and various other business applications
Strong written and verbal communication skills
Ability to operate effectively as part of a project team or individually
Preferred Requirements:
Experience in VBA and Excel macros preferred
FINRA Series 24 (or S8 or 9/10) preferred
Be A Part Of The Team Behind Our Success!

At Advisor Group, we support more than 11,000 financial advisors, the people who help everyday Americans achieve their dreams. Were a billion-dollar business with the mentality and drive of a startup. Join us in building something special.

Equal Opportunity Employer

Advisor Group is an equal opportunity employer. We celebrate diversity in our workplace and we hire the most qualified candidates without regard for age, ethnicity, gender, gender identity or expression, language differences, nationality or national origin, family or marital status, physical, mental, and developmental abilities (or the perception of a disability), genetic information, race, religion or belief, sexual orientation, skin color, social or economic class, education, work and behavioral styles, political affiliation, military service, caste, or any other characteristic protected by law.

Eligibility

Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Advisor Group.

Unqualified Applications

Advisor Group does not consider applications from candidates who do not meet the minimum qualifications stated in the job posting.

Recruiting Agencies

Advisor Group only accepts candidates from contracted recruiting firms and only for searches approved prior to submissions. Fees will not be paid for unsolicited submissions.","Senior Data Analyst, Regulatory Affairs","Phoenix, AZ",3.4,$1 to $5 million (USD),$47K-$91K (Glassdoor Est.),Finance,1001 to 5000 Employees,Company - Private
"Edelman Financial Engines
3.0",-1,1986,-1,Investment Banking & Asset Management,"Marketing and Data Analyst (Kansas City, MO)

At Edelman Financial Engines, we believe every hardworking American deserves to move their financial life forward, and we’re growing our team so we can help more clients every day.

As a Marketing and Data Analyst on the Retail Optimization team, you will support the strategic planning of the Retail and Marketing teams within the Retail Organization.

We are looking for someone who has outstanding SQL Query skills and is able to perform detailed market funnel analysis from data gained, to help us improve campaign performance and drive growth. If you are a client-focused analyst, this may be the opportunity for you!

Responsibilities:
Design new and maintain existing marketing performance reports and dashboards, including but not limited to seminar registrations, traffic to registration pages, marketing campaign performance, lead follow up, cost per lead, and conversion reports.
Create presentations that present insights found in the data in an easy to understand format telling the story that encompasses statistics, graphs, and other tools as needed.
Using SQL, create automated Tableau dashboards, and structured ad hoc analyses to help drive sales and Marketing efficiencies.
Perform in-depth marketing funnel analysis to identify opportunities to optimize campaign performance driving growth in lead conversion and ultimately profitability.
Monitor/track competitive and market trends, report findings/conclusions, make recommendations when appropriate.
Collaborate with business stakeholders to provide strategic input and interpretation of the marketing results.
Act as a marketing liaison to IT and the Business Support Group.
Support the Retail and Marketing teams on a wide range of analytics, reporting, and ad hoc projects.
Participate in special projects and perform other duties as assigned.
Essential Skill Requirements:
SQL, Tableau, Excel, and excellent knowledge of PowerPoint
Ability to identify and report KPI metrics related to lead/client growth and revenue generation alongside the actionable insight
Excellent analytical, quantitative, and problem-solving skills with the ability to collect, organize, synthesize and disseminate large amounts of information
Applied knowledge of statistics and experience using statistical packages for analyzing large data sets
Strong attention to detail ensuring all department reports reconcile
Comfortable working in a fast-moving environment with quickly changing priorities
Ability to successfully work in a team environment
1-2 years’ analytics experience in a marketing environment utilizing tableau
Management Consulting experience preferred
Experience with report development and automation of updates in tableau
Experience building tableau dashboards presenting results in a graph/chart that is clear and concise
Education Requirements:
Bachelor degree required in a quantitative field (e.g., industrial engineering, math, operations research, or statistics)
Master's degree with a concentration in math, statistics, business/marketing analytics, data engineering, operations research, or other discipline stressing quantitative/analytic skills required
About Edelman Financial Engines

Since 1986, Edelman Financial Engines has been committed to always acting in the best interest of our clients. We were founded on the belief that all American investors – not just the wealthy – deserve access to personalized, comprehensive financial planning, and investment advice. Today, we are America’s top independent financial planning and investment advisor, recognized by both InvestmentNews1 and Barron’s2 with 170+ planner offices across the country and entrusted by more than 1.2 million clients to manage more than $213 billion in assets. Our unique approach to serving clients combines our advanced methodology and proprietary technology with the attention of a dedicated personal financial planner. Every client’s situation and goals are unique, and the powerful fusion of high-tech and high-touch allows Edelman Financial Engines to deliver the personal plan and financial confidence that everyone deserves.

For more information, visit www.EdelmanFinancialEngines.com and www.FinancialEngines.com

© 2019 Edelman Financial Engines™, LLC All rights reserved. All advisory services provided by Financial Engines Advisors L.L.C. Financial Engines Advisors does not guarantee future results.

For California residents, please see the link for the Privacy Notice for Candidates. California law requires that we provide you this notice about the collection and use of your personal information. Please read it carefully and reach out to Jill O’Connell (857-305-8555 or joconnell@edelmanfinancialengines.com) with any questions.

Edelman Financial Engines encourages success based on our individual merits and abilities without regard to race, color, religion, creed, sex, gender identity or expression, sexual orientation, pregnancy, marital, domestic partner, or civil union status, national origin, citizenship, ancestry, ethnic heritage, genetic information, age, legally recognized disability, military service or veteran status.

1 Ranking and status for 2019. For independence methodology and ranking, see InvestmentNews Center (http://data.investmentnews.com/ria/);

2 The 2019 Top 50 Independent Advisory Firm Ranking issued by Barron’s is qualitative and quantitative, including assets managed, the size and experience of teams, and the regulatory records of the advisers and firms. Firms elect to participate, but do not pay to be included in the ranking. Investor returns/experience are not considered. 2018 ranking refers to Edelman Financial Services (EFS), which combined its advisory business in its entirety with Financial Engines Advisors L.L.C. (FEA) in November 2018. For the same survey, FEA received a precombination ranking of twelfth.",Marketing and Data Analyst,"Kansas City, MO",3.0,Unknown / Non-Applicable,$47K-$91K (Glassdoor Est.),Finance,1001 to 5000 Employees,Company - Private
"Oneida Nation Enterprises, LLC.",-1,-1,-1,-1,"Summary:
The Business Data Analyst performs routine business analysis using various techniques, e.g. statistical analysis, explanatory and predictive modeling, data visualization and data mining. Researches best practices and supports developing the solutions and recommendations for the current business operations. May work with internal clients and external vendors to identify analytical requirements. Provide business data interpretation, produce ad hoc data and reports, performs quality assurance for data integrity and accuracy. May assist in developing or implementing systems to capture business operation information.
Duties & Responsibilities:
1. Runs daily queries within the Enterprise Data Warehouse and other databases.
2. Uses SQL/R/PYTHON/Alteryx/Tableau and/or other data tools to solve business problems.
3. Partner with IT to support investigation of data quality issues within the EDW.
4. Employs best practices to analyze large amounts of data while maintaining intense attention to detail.
5. Develops reports and presentations to support solid conclusions regarding trends and findings with an ability to explain those findings to varying audiences
6. Questions established business practices and brainstorms new approaches to data analysis.
Minimum Qualifications:
1. A Bachelor’s degree with STEM concentration required.
2. Must have 1-2 years of experience in data analytics and reporting using SQL, R, Python, Tableau, Alteryx and other tools.
3. Must have in depth understanding of multiple functional areas, including knowledge of operational practices and P&L drivers.
4. Must have exceptional oral and written communication skills.
5. Strong business acumen, customer service skills, proactive, demonstrates enthusiasm, motivation and self-confidence is essential.
6. Candidate must be a self-driven individual who can work on many concurrent projects and deliver results on each.
7. Ability to research issues to resolution and attention to detail are essential.
8. Must maintain confidentiality.
Technical Skills (exposure to some/all of the following):
Statistical methods and packages (e.g. Python/R)
Business intelligence platforms (Tableau)
SQL databases and database querying languages
Data mining
Data visualization and reporting techniques
Machine learning techniques
Revenue Optimization tools (Duetto)
Job Type: Full-time
Pay: $50,000.00 - $70,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental Pay:
Bonus pay
Ability to Commute/Relocate:
Verona, NY 13478 (Required)
Education:
Bachelor's (Preferred)
Experience:
Data Analytics & Reporting: 1 year (Preferred)
Data Mining: 1 year (Preferred)
Company's website:
www.onenterprises.com
Company's Facebook page:
https://www.facebook.com/search/top?q=turning%20stone%20careers
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",Business Data Analyst - Entry Level,"Verona, NY",-1,-1,$47K-$91K (Glassdoor Est.),-1,-1,-1
"CreativeDrive
4.1",-1,-1,-1,Advertising & Marketing,"Overview


The Data Analyst will be a key contributor to the Creative Drive Software Solutions team while collaborating with our engineering team to provide actionable insights for internal and external stakeholders. The Data Analyst will be responsible for assessing information from a range of data stored in disparate systems, integrating data, providing data mining to answer specific business questions as well as identifying unknown trends and relationships in data.

This role is perfect for a team player with strong hands-on analytics experience, drive, and curiosity, with the ability to rise above the numbers and explain the essential insights to business users, while instinctively minimizing complexity to focus on results.

Responsibilities
Work with stakeholders to collect, analyze, define, and document requirements for reports, dashboards, scorecards, and analytics
Build and maintain effective dashboards, visualizations, reports, and analytics using Looker and Google BigQuery
Work with the internal and external stakeholders to define new data sets and identify changes to existing data sets
Provide end-user support/guidance to the Creative Drive Team on best practices and approaches to design/implement effective, standardized dashboards and analytics
Acquire and analyze new data sources to inform new analytics development
Provide timely execution of assigned tasks in an agile development environment
Qualifications
3+ years of prior experience successfully building and maintaining dashboards, analyses, reports
Must have a passion for data and have spent your career developing strong data analysis and measurement skills and honing your analytical instincts
Must be a quantitative, data-minded person who loves tackling intricate problems and telling stories with numbers
Strong SQL programming skills, including the use of SQL analytic functions
Significant experience working with key stakeholders across several departments
Excellent communication skills both verbally and written
Willingness to learn and use different Analytics tools and technologies",Data Analyst,"New York, NY",4.1,$100 to $500 million (USD),$47K-$91K (Glassdoor Est.),Business Services,501 to 1000 Employees,Company - Private
Kathy Kuo Home,-1,-1,-1,-1,"Kathy Kuo Home based in NYC and founded in 2013 is a leading mid to high-end furniture and home decor retailer with a robust online presence (www.kathykuo.com). Cherished by lifestyle bloggers and design savvy decorators, our broad mix of contemporary, traditional, and classic silhouettes in aspirational collections cover categories ranging from furniture, lighting to soft goods and baby.
Our newly opened showroom in NYC, Design Bar offers a unique branded design experience in the heart of Harlem where we offer interior design services as well as a chance to engage with your own dedicated Design Specialist so you can understand how to love where you live.
Individuals working for KKH are highly creative, innovative, and strive for perfection in what they do. Come join our creative team and be part of an exciting, fast-paced profitable tech / design company!
The Position:
The Home Furnishings Buyer will utilize business insights and innate trend / style sensibility to merchandise and establish beautifully curated assortments in tandem with relevant content that drive business growth. This individual has an exceptional ability to nurture relationships within our vendor community, see opportunity for growth within categories, across channels and prioritize based on business needs.
Job Descriptions / Responsibilities:
Grow existing assortment across categories while identifying weak performing products to achieve optimal user experience and profitability.
Proven ability to drive sales and profitability through selling analysis, pricing negotiations, and planning of calendar with regard to promotional and editorial messaging
Proficiency in retail math
Excellent communication skills and a proven ability to manage vendor relationships through close communication and market visits
Ability to collaborate with select vendors to identify opportunities to develop proprietary products, margin increases and business growth that will resonate with the KKH customer
Research competition and initiate pricing and assortment strategy across all marketplaces
Manage work flow and product assortment for new vendor on-boarding utilizing Pivotal management software
Ability to effectively manage and groom a junior associate and assist in their workflow and professional development
Add new products and collections to assortment with a keen sense of the KKH aesthetics
QA overseas and US based copy team
Job Skills / Qualifications:
4 year degree in Design or Business related field
3 + years experience as a Product Manager, Buyer or Merchandiser – preferably in Home Fashions.
Prior E-Commerce Experience Preferred
Excellent proficiency with Microsoft Excel. Test will be administered.
Working knowledge of Adobe Photoshop a plus
Ability to recognize opportunity, nurture work flow processes, and increase efficiency
Attention to detail is absolutely critical
Understanding of SEO principles and web analytics are a plus
Your Are:
Professional, dependable, solid worth ethics, detail oriented, self-motivated and punctual.
A keen understanding of the KKH aesthetic and customer when making product selections
Passion and understanding of the home furnishings and the e-commerce competitive landscape for home
Detailed and dedicated to quality and consistency
Able to solve problems without assistance
Interest and motivated in web business or design entrepreneurship
Customer and ROI-centric
Take direction well, and also able to make decisions and take initiatives.
Understand the importance of individual work and team work
Why Work for Us:
Creative entrepreneurial environment
Paid vacation and health insurance after 90 days of employment
Travel to trade shows
Comfortable, relaxed working atmosphere
Large potential for growth
Thanks for reading and we look forward to hearing from you!
Job Types: Full-time, Contract
Pay: From $25.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Paid time off
Parental leave
Schedule:
Monday to Friday
Experience:
Buying: 3 years (Preferred)
Work Location:
Fully Remote
Work Remotely:
Temporarily due to COVID-19",Business Operations Data Analyst,"New York, NY",-1,-1,$47K-$91K (Glassdoor Est.),-1,-1,-1
"ConcertAI
3.3",-1,2018,-1,Biotech & Pharmaceuticals,"About ConcertAI

ConcertAI is the leading provider of precision oncology solutions for biopharma and healthcare, leveraging the largest collection of research-grade Real-world Data and the only broadly deployed oncology-specific AI solutions. Our mission is to improve translational sciences; accelerate therapeutic clinical development; and provide new capabilities for post-approval studies to accelerate needed new medical innovations to patients and to improve patient outcomes.
ConcertAI has emerged as one of the highest growth technology companies in Real-world Data and AI, backed by industry leading private equity companies: SymphonyAI, Declaration Partners, Maverick Ventures, and Alliance|Bernstein.

Role Summary

We are seeking for a highly proficient Data Analyst to join our team in supporting our Pharmaceutical cliental. This role will involve, but not limited to, implanting QC scripts, performing data analytics, collaborating with business analysts and client service managers in supporting quality, reporting and business support. An ideal candidate will posses the ability to digest complex databases, have strong coding skills and an inept ability for uncovering root causes of data errors and communicate these findings clearly with the client.
Responsibilities
Performing descriptive statistics on large datasets to determine data quality.
Developing and executing data queries to identify data errors / exceptions.
Ability to identify and interpret trends in cross-functional data.
Generate and perform Quality Control processes
Create reports, KPIs and analytics
Data expert to advise the client on how to use their data to best support their business needs.
Assessing tests on new or upgraded software from a data perspective.
Communicating data analysis results to management for supporting business inquiries.
Requirements
Must have a Bachelor’s degree in Analytics, Statistics, Mathematics, Computer Science, or related field
Must have 3+ years of Data Analysis experience
Must have 2- 3 years of experience in an SQL server environment
Extensive experience with MySQL and PostgreSQL
Advanced problem-solving skills
Experience with Specialty Pharmacy Data is a plus
Excellent written documentation skills
Have high level of organization and time-management abilities
Learn More About ConcertAI

ConcertAI is transforming how healthcare is delivered and dedicated to improving patient outcomes in oncology by offering innovative solutions on how data and intelligence is used to solve healthcare problems. We are creating something special in our culture, by building a collaborative, engaged, patient focused, team approach to our mission. Our high-performance teams are looking to add great talent to the mix and we are hiring for the right mix of new skills and diverse mindset. Learn more about ConcertAI at www.concertai.com or on LinkedIn .",Pharmaceutical Data Analyst,"King of Prussia, PA",3.3,Unknown / Non-Applicable,$47K-$91K (Glassdoor Est.),Biotech & Pharmaceuticals,501 to 1000 Employees,Company - Private
"Americor
4.1",-1,2015,-1,Lending,"Americor is an innovative finance technology company, with a unique approach to debt resolution. Our employees love coming to work and find value in what they do. The Data Analyst collects, sorts, analyzes, and reports on data gathered through various program activities in order to interpret and analyze trends and performance.
Essential Job Functions:
Work with team members and department managers to provide reporting related to key performance indicators (KPI)
Interpret data, analyze results using statistical techniques and provide ongoing reports
Identify reporting opportunities that will help increase efficiency by identifying any gaps in the process/ exception reporting.
Create dashboards that provide aggregate information regarding daily departmental operations; perform ad-hoc analysis to identify potential issues.
Data mine a large population of data to help identify relevant information
Provide timely reporting and ad-hoc support to various departments.
Assist with maintaining the delivery of daily reporting by running the reporting scripts for daily distribution.
Other duties as assigned.
Education/Experience Requirements:
Bachelor’s degree preferred and 2+ years' related experience preferred
Proficient in SQL
Proficient in Tableau and visualization a plus
Proficient in the manipulation and use of large and complex databases
Strong analytical and quantitative skills with a proven ability to translate analysis into meaningful insights
Knowledge of a coding language (python, R, PHP or other) and understand the coding logic a plus
Excellent verbal, written and interpersonal communication skills.
Ability to learn quickly and manage multiple priorities in a fast-paced and rapidly changing environment
What we provide:
A fun and energetic work environment (Ping-pong, Lunches, awesome Co-Workers)
Medical, Dental and 401K Benefits
Growth Opportunities
Free gym access
We are an equal opportunity employer without regard to race, religion or religious creed (including religious dress and grooming practices), color, sex (including pregnancy, perceived pregnancy, childbirth, breastfeeding, and any related medical conditions), gender, gender identity and expression, sexual orientation, transitioning status, national origin, ancestry, citizenship status, uniform service member status, military and veteran status, marital status, pregnancy, age, protected medical condition, genetic information, mental or physical disability, holding or presenting a driver’s license issued under Cal. Vehicle Code Section 12801.9, or any other category protected by applicable federal, state or local law.
Americor Funding, Inc. (the “Company”) has an internal recruiting department. Americor Funding Inc. may supplement that internal capability from time to time with assistance from temporary staffing agencies, placement services, and professional recruiters (“Agency”). Agencies are hereby specifically directed NOT to contact Americor Funding Inc. employees directly in an attempt to present candidates. The Company’s policy is for the internal recruiting team or other authorized personnel to present ALL candidates to hiring managers.
Any unsolicited resumes sent to Americor Funding Inc. from a third party, such as an Agency, including unsolicited resumes sent to a Company mailing address, fax machine or email address, directly to Company employees, or to the resume database will be considered Company property. Americor Funding Inc. will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume. Americor Funding Inc. will consider any candidate for whom an Agency has submitted an unsolicited resume to have been referred by the Agency free of any charges or fees.
Powered by JazzHR
rzXKdGPVRy",Data Analyst,"Irvine, CA",4.1,$10 to $25 million (USD),$47K-$91K (Glassdoor Est.),Finance,501 to 1000 Employees,Company - Private
"Material Handling Systems, Inc.
3.3",-1,-1,-1,Industrial Manufacturing,"The Business Data Analyst will be primarily responsible for the development, management, coordination and maintenance of MHSE's MRP/ERP systems (currently IQMS but will eventually move to Infor). Emphasis being placed on the ability to ensure the current system is setup to support a seamless transition to Info. Knowledge of manufacturing processes and flows to ensure the MRP/ERP is optimized to support operations.

Any experience with master data architecture, practices, procedures, reporting, analysis and execution would be considered a bonus. The individual will coordinate and collaborate with all functional areas to develop and/or ensure systems are in place that allow effective and accurate processing of master data details and ensure strict governance of master data activities in accordance with documented procedures.

ESSENTIAL FUNCTIONS:
Creates and maintains systems/processes/structure to allow manufacturing to process and execute orders in the most cost effective and timely fashion.
Collect master data in the areas of Material Master, WIP transactions/processing, BOMS, Freight, Warehouse Management and other related areas to MRP/ERP.
Works with the Product Development, Procurement, Finance, R&D, Engineering, Logistics and Operations team coordinating master data requirements and collection/tracking methods to ensure data consistency, integrity, and control within JDE.
Maintains an active understanding of the product offering available from their specific location.
Supports the communication and education of master data standards, definitions, processes, policies and tools to functional data owners.
Creates and develops system that allow the analysis of source data to ensure that it is properly cleansed and standardized.
Understands critical data from business and technical perspectives.
Resolves or escalates data quality issues for their location and takes prompt corrective action.
POSITION QUALIFICATIONS:

Education: College Degree (BS or BA) : Required

Experience: 2 plus years of experience in similar position.

Proven ability to understand and deliver against customer expectations; Demonstrated ability to get results with and through people; Must be self-directed and motivated; able to multi-task in fast-paced, 24/7 manufacturing environment.

Computer Skills: Experience with implementing and/or using Infor in a manufacturing environment. Additional computer skills to include HTML and GUI development, SQL, Microsoft Word, Excel, Access, PowerPoint and Outlook; Knowledge of Enterprise Resource Planning (ERP) system (i.e. JD Edwards), a plus.

This job description describes the general nature and level of work expected of a person assigned to this position. All job requirements listed indicate the minimum level of knowledge, skills and/or ability deemed necessary to perform the job proficiently. Employees may be required to perform any other job-related duties as requested by their supervisor.

It is the policy of Material Handling Systems, Inc (MHS) and its affiliated companies to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, pregnancy or pregnancy-related condition, status with regard to public assistance, veteran status, citizenship status (if authorized to work in the U.S.), or any other characteristic protected by federal, state or local law. In addition, MHS will provide reasonable accommodations for qualified individuals with disabilities.",Business Data Analyst,"Louisville, KY",3.3,Unknown / Non-Applicable,$47K-$91K (Glassdoor Est.),Manufacturing,1001 to 5000 Employees,Company - Private
